TaskID,Description,AssignedEmployees,Advisors,PrecedingTasks,StoryPoints,StartTime,EstimatedFinishTime,Status,ActualFinishTime
TSK-CB0C0404,Initial project setup and configuration,"36,1","13,25",,2,2025-02-27,2025-02-28,Planned,
TSK-98C9448B,Creation of project timeline and task allocation,"1,11",35,,3,2025-03-05,2025-03-07,Planned,
TSK-A8A24727,Design of application architecture,8,22,,5,2025-03-05,2025-03-08,Planned,
TSK-E6CFDD02,Development of database schema,"29,13","28,34",,5,2025-03-01,2025-03-04,Planned,
TSK-85D5D00C,Front-end design mockup creation,"21,7","33,18",,3,2025-03-02,2025-03-04,Planned,
TSK-C891B895,Back-end application design,24,36,,5,2025-03-04,2025-03-07,Planned,
TSK-5C2187CF,Integration of front-end and back-end,"7,28,35","12,13","TSK-98C9448B,TSK-A8A24727,TSK-CB0C0404,TSK-85D5D00C",5,2025-03-03,2025-03-06,Planned,
TSK-983C30DC,Development of user authentication module,"16,9",18,"TSK-5C2187CF,TSK-C891B895,TSK-E6CFDD02",8,2025-03-05,2025-03-09,Planned,
TSK-763CE1C3,Implementation of user interface based on mockup,"4,26,3",17,"TSK-98C9448B,TSK-A8A24727,TSK-983C30DC",8,2025-03-04,2025-03-08,Planned,
TSK-59CE546C,Development of user profile management features,"28,24,20",22,"TSK-763CE1C3,TSK-98C9448B,TSK-A8A24727,TSK-85D5D00C",8,2025-03-07,2025-03-11,Planned,
TSK-01D25D85,Implementation of data encryption for user data,"9,34,11","21,12","TSK-E6CFDD02,TSK-98C9448B,TSK-CB0C0404,TSK-59CE546C",8,2025-03-07,2025-03-12,Planned,
TSK-255E6310,Development of search functionality,16,13,"TSK-E6CFDD02,TSK-C891B895",5,2025-03-08,2025-03-11,Planned,
TSK-2B1FAB57,Implementation of payment gateway,"35,32,7",15,"TSK-59CE546C,TSK-98C9448B,TSK-5C2187CF",13,2025-03-06,2025-03-13,Planned,
TSK-427652F3,Development of reporting functionality,"25,30","10,20","TSK-E6CFDD02,TSK-CB0C0404,TSK-A8A24727",5,2025-03-08,2025-03-11,Planned,
TSK-CAFF3B09,Initial testing and bug fixing,"14,10,15",27,TSK-98C9448B,5,2025-03-10,2025-03-13,Planned,
TSK-3BA37747,Performance testing and optimization,"13,2,30",28,"TSK-98C9448B,TSK-427652F3,TSK-CB0C0404",8,2025-03-10,2025-03-15,Planned,
TSK-A6994DD6,User acceptance testing,"1,13",15,,3,2025-03-10,2025-03-12,Planned,
TSK-54F9521F,Bug fixing after user acceptance testing,26,18,"TSK-763CE1C3,TSK-A6994DD6",5,2025-03-09,2025-03-12,Planned,
TSK-AAF06E6A,Final review and approval of the project,"35,34,36","13,6","TSK-C891B895,TSK-2B1FAB57,TSK-A6994DD6,TSK-763CE1C3",2,2025-03-11,2025-03-12,Planned,
TSK-A3E27D20,Preparation for deployment,"25,9,28","26,19",,2,2025-03-11,2025-03-12,Planned,
TSK-FAC99DF1,Deployment to production environment,8,"28,13",TSK-3BA37747,5,2025-03-12,2025-03-15,Planned,
TSK-E73A7D25,Post-deployment monitoring and issue resolution,"11,25",7,"TSK-54F9521F,TSK-85D5D00C,TSK-98C9448B,TSK-A6994DD6",5,2025-03-13,2025-03-16,Planned,
TSK-4D677758,Documentation of project and code,"29,1",30,TSK-FAC99DF1,2,2025-03-14,2025-03-15,Planned,
TSK-84305F2F,Training of end-users,"13,10","17,23","TSK-E73A7D25,TSK-A6994DD6,TSK-983C30DC",3,2025-03-15,2025-03-17,Planned,
TSK-41ECEB44,Setting up continuous integration and continuous deployment (CI/CD),10,"30,14",,8,2025-03-15,2025-03-19,Planned,
TSK-30DBEA24,Automating tests and setup of test environments,24,22,"TSK-CAFF3B09,TSK-255E6310,TSK-4D677758",8,2025-03-14,2025-03-18,Planned,
TSK-BE4188D4,Setting up monitoring and alerts for the live application,"30,32","18,16","TSK-E73A7D25,TSK-2B1FAB57,TSK-255E6310",5,2025-03-14,2025-03-17,Planned,
